Date,Title,Amount,Type,Category,Account
2025-08-31,Tissue,1779692,EXPENSE,belanja,BCA
2025-09-01,Alfamart,184681,EXPENSE,belanja,Dompet Tunai
2025-09-01,Warung Nasi,1535353,EXPENSE,makan & minum,BCA
2025-09-01,Indomaret,639789,EXPENSE,belanja,Gopay
2025-09-01,Top up Game,643284,EXPENSE,hiburan,Gopay
2025-09-01,Makan Siang,608851,EXPENSE,makan & minum,Dompet Tunai
2025-09-01,Main Ke Mall,165873,EXPENSE,hiburan,BCA
2025-09-01,Streaming,388943,EXPENSE,hiburan,Dompet Tunai
2025-09-01,Pulsa,478299,EXPENSE,tagihan,Gopay
2025-09-01,Makan Malam,688253,EXPENSE,makan & minum,Dompet Tunai
2025-09-02,Alfamart,78066,EXPENSE,belanja,Gopay
2025-09-02,Indomaret,1891229,EXPENSE,belanja,Dompet Tunai
2025-09-02,Main Ke Mall,1718913,EXPENSE,hiburan,BCA
2025-09-02,Pulsa,536787,EXPENSE,tagihan,Gopay
2025-09-02,Warung Nasi,1761427,EXPENSE,makan & minum,BCA
2025-09-02,Lain-lain,1924597,EXPENSE,lain-lain,Gopay
2025-09-03,Top up Game,1204428,EXPENSE,hiburan,BCA
2025-09-03,Listrik,1846468,EXPENSE,tagihan,Gopay
2025-09-03,Lain-lain,572309,EXPENSE,lain-lain,Dompet Tunai
2025-09-03,Makan Siang,48399,EXPENSE,makan & minum,Gopay
2025-09-03,Air,1018889,EXPENSE,tagihan,Gopay
2025-09-03,Investasi,1770005,INCOME,goals,BCA
2025-09-03,Main Ke Mall,1548229,EXPENSE,hiburan,BCA
2025-09-03,Bioskop,1219991,EXPENSE,hiburan,Gopay
2025-09-04,Biaya Admin,1699893,EXPENSE,lain-lain,BCA
2025-09-04,Sabun,16496,EXPENSE,belanja,Gopay
2025-09-04,Main Ke Mall,972187,EXPENSE,hiburan,Gopay
2025-09-05,Lain-lain,1313961,EXPENSE,lain-lain,BCA
2025-09-05,Bioskop,1862497,EXPENSE,hiburan,Dompet Tunai
2025-09-05,Tabungan,19456769,INCOME,goals,Gopay
2025-09-05,Bioskop,879923,EXPENSE,hiburan,Dompet Tunai
2025-09-05,Cemilan,630674,EXPENSE,makan & minum,BCA
2025-09-05,Streaming,2066451,EXPENSE,hiburan,Dompet Tunai
2025-09-05,Parkir,9640,EXPENSE,tagihan,BCA
2025-09-05,Parkir,174260,EXPENSE,tagihan,BCA
2025-09-06,Lain-lain,1718378,EXPENSE,lain-lain,Gopay
2025-09-06,Listrik,1834953,EXPENSE,tagihan,Gopay
2025-09-06,Bonus,16323492,INCOME,gaji,Dompet Tunai
2025-09-06,Streaming,1917176,EXPENSE,hiburan,Gopay
2025-09-06,BPJS,826414,EXPENSE,tagihan,Dompet Tunai
2025-09-07,Makan Malam,1041889,EXPENSE,makan & minum,Dompet Tunai
2025-09-07,Air,1551772,EXPENSE,tagihan,Gopay
2025-09-07,Biaya Admin,1378614,EXPENSE,lain-lain,Gopay
2025-09-07,Iuran Bulanan,1117278,EXPENSE,tagihan,Dompet Tunai
2025-09-07,Air,76443,EXPENSE,tagihan,Gopay
2025-09-07,Iuran Bulanan,1172533,EXPENSE,tagihan,BCA
2025-09-07,Lain-lain,141393,EXPENSE,lain-lain,Dompet Tunai
2025-09-07,Streaming,338371,EXPENSE,hiburan,Dompet Tunai
2025-09-07,Main Ke Mall,55486,EXPENSE,hiburan,BCA
2025-09-07,Parkir,1463847,EXPENSE,tagihan,Dompet Tunai
2025-09-08,Tissue,927322,EXPENSE,belanja,Dompet Tunai
2025-09-08,Kebutuhan Pokok,1520123,EXPENSE,belanja,Dompet Tunai
2025-09-08,Kopi Pagi,963872,EXPENSE,makan & minum,BCA
2025-09-08,Kebutuhan Pokok,1585124,EXPENSE,belanja,Gopay
2025-09-08,Warung Nasi,204673,EXPENSE,makan & minum,Gopay
2025-09-09,Warung Nasi,1115296,EXPENSE,makan & minum,Gopay
2025-09-09,Belanja Mingguan,987627,EXPENSE,belanja,Dompet Tunai
2025-09-10,Makan Siang,125328,EXPENSE,makan & minum,Gopay
2025-09-10,Lain-lain,507637,EXPENSE,lain-lain,Gopay
2025-09-10,Indomaret,1526422,EXPENSE,belanja,BCA
2025-09-10,Lain-lain,1440811,EXPENSE,lain-lain,BCA
2025-09-10,Listrik,1727454,EXPENSE,tagihan,Gopay
2025-09-11,Internet,132642,EXPENSE,tagihan,Dompet Tunai
2025-09-11,Insentif,1286834,INCOME,gaji,BCA
2025-09-11,Kopi Pagi,1179803,EXPENSE,makan & minum,Gopay
2025-09-11,Gofood,1501083,EXPENSE,makan & minum,Dompet Tunai
2025-09-12,Cemilan,77542,EXPENSE,makan & minum,BCA
2025-09-12,Warung Nasi,959408,EXPENSE,makan & minum,Dompet Tunai
2025-09-12,Gofood,1277729,EXPENSE,makan & minum,BCA
2025-09-12,Gaji Bulanan,10728268,INCOME,gaji,Gopay
2025-09-12,Makan Malam,158794,EXPENSE,makan & minum,BCA
2025-09-12,Bioskop,83945,EXPENSE,hiburan,Gopay
2025-09-12,Makan Siang,286717,EXPENSE,makan & minum,Gopay
2025-09-12,Indomaret,70022,EXPENSE,belanja,Dompet Tunai
2025-09-12,Investasi,17563868,INCOME,goals,BCA
2025-09-12,BPJS,989838,EXPENSE,tagihan,Gopay
2025-09-13,Internet,313438,EXPENSE,tagihan,BCA
2025-09-13,Lain-lain,1467665,EXPENSE,lain-lain,BCA
2025-09-13,Sabun,1032121,EXPENSE,belanja,Gopay
2025-09-13,Kopi Pagi,981196,EXPENSE,makan & minum,BCA
2025-09-13,Bioskop,148162,EXPENSE,hiburan,Dompet Tunai
2025-09-13,Indomaret,815359,EXPENSE,belanja,BCA
2025-09-13,Alfamart,2020279,EXPENSE,belanja,BCA
2025-09-13,Iuran Bulanan,1828332,EXPENSE,tagihan,Gopay
2025-09-13,Cemilan,1926044,EXPENSE,makan & minum,Gopay
2025-09-14,Insentif,15698477,INCOME,gaji,BCA
2025-09-14,Tabungan,4620253,INCOME,goals,Gopay
2025-09-14,Investasi,20250796,INCOME,goals,BCA
2025-09-15,Pulsa,209334,EXPENSE,tagihan,BCA
2025-09-15,Sabun,309176,EXPENSE,belanja,BCA
2025-09-15,Top up Game,1403677,EXPENSE,hiburan,Dompet Tunai
2025-09-15,Air,61404,EXPENSE,tagihan,BCA
2025-09-15,Lain-lain,1762949,EXPENSE,lain-lain,Dompet Tunai
2025-09-15,Tissue,411837,EXPENSE,belanja,Dompet Tunai
2025-09-16,BPJS,410631,EXPENSE,tagihan,Gopay
2025-09-17,Bunga Bank,5042471,INCOME,goals,Gopay
2025-09-17,Iuran Bulanan,1750085,EXPENSE,tagihan,Dompet Tunai
2025-09-17,Internet,801957,EXPENSE,tagihan,Dompet Tunai
2025-09-17,Freelance Project,1952743,INCOME,gaji,Gopay
2025-09-17,Kebutuhan Pokok,554434,EXPENSE,belanja,BCA
2025-09-17,Pulsa,1832097,EXPENSE,tagihan,BCA
2025-09-17,Parkir,1315987,EXPENSE,tagihan,BCA
2025-09-17,Tissue,1117924,EXPENSE,belanja,Gopay
2025-09-17,Gaji Bulanan,4934305,INCOME,gaji,Gopay
2025-09-18,Biaya Admin,1191786,EXPENSE,lain-lain,BCA
2025-09-18,Indomaret,2027317,EXPENSE,belanja,Dompet Tunai
2025-09-18,Investasi,15459115,INCOME,goals,Gopay
2025-09-18,Kebutuhan Pokok,1464832,EXPENSE,belanja,BCA
2025-09-18,Indomaret,1406763,EXPENSE,belanja,Gopay
2025-09-18,Internet,15697,EXPENSE,tagihan,BCA
2025-09-18,Streaming,60759,EXPENSE,hiburan,Gopay
2025-09-18,Lain-lain,1171203,EXPENSE,lain-lain,BCA
2025-09-19,Alfamart,661875,EXPENSE,belanja,Gopay
2025-09-19,Lain-lain,188847,EXPENSE,lain-lain,BCA
2025-09-19,Main Ke Mall,1703435,EXPENSE,hiburan,BCA
2025-09-19,BPJS,155619,EXPENSE,tagihan,Dompet Tunai
2025-09-19,Lain-lain,1007026,EXPENSE,lain-lain,BCA
2025-09-19,Jajan Sore,1171146,EXPENSE,makan & minum,BCA
2025-09-19,Parkir,941188,EXPENSE,tagihan,Dompet Tunai
2025-09-19,Internet,377335,EXPENSE,tagihan,Dompet Tunai
2025-09-20,Biaya Admin,410485,EXPENSE,lain-lain,Dompet Tunai
2025-09-20,Alfamart,1125799,EXPENSE,belanja,Dompet Tunai
2025-09-20,Iuran Bulanan,1221735,EXPENSE,tagihan,Dompet Tunai
2025-09-20,Cemilan,96367,EXPENSE,makan & minum,Dompet Tunai
2025-09-20,Indomaret,1338223,EXPENSE,belanja,Dompet Tunai
2025-09-20,Lain-lain,1056757,EXPENSE,lain-lain,BCA
2025-09-20,Gofood,355763,EXPENSE,makan & minum,Dompet Tunai
2025-09-20,Tissue,316457,EXPENSE,belanja,Gopay
2025-09-20,Streaming,1897706,EXPENSE,hiburan,Dompet Tunai
2025-09-21,Biaya Admin,1053411,EXPENSE,lain-lain,BCA
2025-09-21,Tissue,1272653,EXPENSE,belanja,BCA
2025-09-21,Streaming,2010403,EXPENSE,hiburan,Dompet Tunai
2025-09-21,Biaya Admin,673881,EXPENSE,lain-lain,BCA
2025-09-21,Pulsa,965639,EXPENSE,tagihan,Gopay
2025-09-21,Main Ke Mall,87313,EXPENSE,hiburan,BCA
2025-09-22,Cemilan,1189759,EXPENSE,makan & minum,BCA
2025-09-22,Sabun,780135,EXPENSE,belanja,Gopay
2025-09-22,Bioskop,1078796,EXPENSE,hiburan,BCA
2025-09-22,Gofood,1344474,EXPENSE,makan & minum,BCA
2025-09-22,Bioskop,994629,EXPENSE,hiburan,BCA
2025-09-22,Streaming,1657415,EXPENSE,hiburan,Dompet Tunai
2025-09-22,Investasi,21037421,INCOME,goals,Gopay
2025-09-22,Lain-lain,64198,EXPENSE,lain-lain,BCA
2025-09-22,BPJS,1595859,EXPENSE,tagihan,BCA
2025-09-23,Lain-lain,1880639,EXPENSE,lain-lain,Gopay
2025-09-23,Air,183444,EXPENSE,tagihan,Gopay
2025-09-23,Biaya Admin,1913043,EXPENSE,lain-lain,Dompet Tunai
2025-09-23,Lain-lain,96729,EXPENSE,lain-lain,Gopay
2025-09-23,Gofood,493985,EXPENSE,makan & minum,Dompet Tunai
2025-09-23,Top up Game,191378,EXPENSE,hiburan,Dompet Tunai
2025-09-23,Lain-lain,738108,EXPENSE,lain-lain,Dompet Tunai
2025-09-23,Lain-lain,1924716,EXPENSE,lain-lain,BCA
2025-09-23,Main Ke Mall,2032708,EXPENSE,hiburan,Dompet Tunai
2025-09-24,Lain-lain,539813,EXPENSE,lain-lain,Gopay
2025-09-24,Makan Malam,129578,EXPENSE,makan & minum,BCA
2025-09-24,Main Ke Mall,358911,EXPENSE,hiburan,Gopay
2025-09-24,Tabungan,8791421,INCOME,goals,Dompet Tunai
2025-09-24,Top up Game,66175,EXPENSE,hiburan,Gopay
2025-09-24,Lain-lain,805076,EXPENSE,lain-lain,Gopay
2025-09-24,Streaming,763249,EXPENSE,hiburan,Dompet Tunai
2025-09-25,Biaya Admin,1285508,EXPENSE,lain-lain,BCA
2025-09-25,Tabungan,1408922,INCOME,goals,Dompet Tunai
2025-09-25,Streaming,1558927,EXPENSE,hiburan,Gopay
2025-09-25,Tissue,994953,EXPENSE,belanja,Dompet Tunai
2025-09-25,Gofood,1965552,EXPENSE,makan & minum,BCA
2025-09-25,Air,1223409,EXPENSE,tagihan,Gopay
2025-09-25,Makan Malam,1046009,EXPENSE,makan & minum,BCA
2025-09-25,Iuran Bulanan,35656,EXPENSE,tagihan,BCA
2025-09-25,Biaya Admin,1108133,EXPENSE,lain-lain,Gopay
2025-09-25,Iuran Bulanan,1019798,EXPENSE,tagihan,BCA
2025-09-25,Bioskop,1289868,EXPENSE,hiburan,Dompet Tunai
2025-09-25,Tabungan,21819141,INCOME,goals,BCA
2025-09-26,Tissue,764824,EXPENSE,belanja,BCA
2025-09-26,Biaya Admin,1529721,EXPENSE,lain-lain,Gopay
2025-09-26,Jajan Sore,331198,EXPENSE,makan & minum,Dompet Tunai
2025-09-27,Internet,738268,EXPENSE,tagihan,BCA
2025-09-27,Main Ke Mall,1605588,EXPENSE,hiburan,Dompet Tunai
2025-09-27,Sabun,284506,EXPENSE,belanja,Gopay
2025-09-27,Parkir,593783,EXPENSE,tagihan,Dompet Tunai
2025-09-27,Gofood,1094227,EXPENSE,makan & minum,BCA
2025-09-27,Biaya Admin,1702732,EXPENSE,lain-lain,BCA
2025-09-27,Biaya Admin,1042314,EXPENSE,lain-lain,Gopay
2025-09-27,Biaya Admin,239463,EXPENSE,lain-lain,BCA
2025-09-28,Lain-lain,2062904,EXPENSE,lain-lain,BCA
2025-09-28,Cashback,6539763,INCOME,goals,Dompet Tunai
2025-09-28,Jajan Sore,1527426,EXPENSE,makan & minum,Dompet Tunai
2025-09-28,Biaya Admin,1653916,EXPENSE,lain-lain,BCA
2025-09-28,Streaming,659649,EXPENSE,hiburan,BCA
2025-09-29,Biaya Admin,1988839,EXPENSE,lain-lain,BCA
2025-09-29,Tissue,1294091,EXPENSE,belanja,Dompet Tunai
2025-09-29,Jajan Sore,844392,EXPENSE,makan & minum,Dompet Tunai
2025-09-29,Top up Game,306638,EXPENSE,hiburan,Gopay
2025-09-29,Biaya Admin,2030548,EXPENSE,lain-lain,Gopay
2025-09-29,Lain-lain,406356,EXPENSE,lain-lain,Dompet Tunai
2025-09-29,Bonus,1276478,INCOME,gaji,Dompet Tunai
2025-09-29,Biaya Admin,418596,EXPENSE,lain-lain,Gopay
2025-09-29,Belanja Mingguan,1062526,EXPENSE,belanja,BCA
2025-09-30,Tabungan,13455467,INCOME,goals,BCA
2025-09-30,Iuran Bulanan,422657,EXPENSE,tagihan,Dompet Tunai
2025-09-30,Lain-lain,178104,EXPENSE,lain-lain,Dompet Tunai
2025-09-30,Biaya Admin,77566,EXPENSE,lain-lain,Dompet Tunai
2025-10-01,Pulsa,843295,EXPENSE,tagihan,BCA
2025-10-01,Pulsa,1145756,EXPENSE,tagihan,BCA
2025-10-01,Bioskop,966051,EXPENSE,hiburan,BCA
2025-10-01,Pulsa,139712,EXPENSE,tagihan,Dompet Tunai
2025-10-02,Makan Siang,41792,EXPENSE,makan & minum,Gopay
2025-10-02,Gofood,107602,EXPENSE,makan & minum,BCA
2025-10-02,Biaya Admin,1132693,EXPENSE,lain-lain,Dompet Tunai
2025-10-02,BPJS,756876,EXPENSE,tagihan,BCA
2025-10-02,Kebutuhan Pokok,89157,EXPENSE,belanja,Dompet Tunai
2025-10-03,Top up Game,1322141,EXPENSE,hiburan,Dompet Tunai
2025-10-03,Freelance Project,4901744,INCOME,gaji,BCA
2025-10-03,Makan Malam,188821,EXPENSE,makan & minum,Dompet Tunai
2025-10-04,Listrik,1369401,EXPENSE,tagihan,Gopay
2025-10-04,Warung Nasi,29759,EXPENSE,makan & minum,Dompet Tunai
2025-10-04,Kebutuhan Pokok,755646,EXPENSE,belanja,Dompet Tunai
2025-10-04,Jajan Sore,1245412,EXPENSE,makan & minum,Dompet Tunai
2025-10-04,Biaya Admin,881534,EXPENSE,lain-lain,Dompet Tunai
2025-10-05,Biaya Admin,1278862,EXPENSE,lain-lain,Dompet Tunai
2025-10-05,Biaya Admin,948863,EXPENSE,lain-lain,BCA
2025-10-05,Kopi Pagi,1276979,EXPENSE,makan & minum,BCA
2025-10-05,Kopi Pagi,644844,EXPENSE,makan & minum,BCA
2025-10-05,Cashback,8878074,INCOME,goals,BCA
2025-10-05,Top up Game,557063,EXPENSE,hiburan,Gopay
2025-10-06,Lain-lain,773078,EXPENSE,lain-lain,Dompet Tunai
2025-10-06,Bioskop,202235,EXPENSE,hiburan,Dompet Tunai
2025-10-06,Air,1331849,EXPENSE,tagihan,Dompet Tunai
2025-10-06,Main Ke Mall,1047246,EXPENSE,hiburan,Gopay
2025-10-06,Alfamart,301543,EXPENSE,belanja,Gopay
2025-10-06,Kebutuhan Pokok,76598,EXPENSE,belanja,Dompet Tunai
2025-10-06,Top up Game,494057,EXPENSE,hiburan,Dompet Tunai
2025-10-07,Indomaret,43953,EXPENSE,belanja,BCA
2025-10-07,Warung Nasi,184137,EXPENSE,makan & minum,Dompet Tunai
2025-10-07,Biaya Admin,310165,EXPENSE,lain-lain,Dompet Tunai
2025-10-08,Cemilan,1123076,EXPENSE,makan & minum,BCA
2025-10-08,Sabun,266366,EXPENSE,belanja,Dompet Tunai
2025-10-08,Lain-lain,1281179,EXPENSE,lain-lain,Gopay
2025-10-08,Freelance Project,16166772,INCOME,gaji,Gopay
2025-10-08,Bioskop,29083,EXPENSE,hiburan,BCA
2025-10-08,Top up Game,10352,EXPENSE,hiburan,BCA
2025-10-09,Lain-lain,73535,EXPENSE,lain-lain,BCA
2025-10-09,Biaya Admin,206923,EXPENSE,lain-lain,Dompet Tunai
2025-10-09,BPJS,869543,EXPENSE,tagihan,Gopay
2025-10-09,Biaya Admin,549083,EXPENSE,lain-lain,Gopay
2025-10-09,Internet,248716,EXPENSE,tagihan,Gopay
2025-10-10,Main Ke Mall,832987,EXPENSE,hiburan,Gopay
2025-10-10,Cemilan,1322396,EXPENSE,makan & minum,BCA
2025-10-10,Kebutuhan Pokok,126406,EXPENSE,belanja,Gopay
2025-10-10,Warung Nasi,417052,EXPENSE,makan & minum,BCA
2025-10-11,Iuran Bulanan,824655,EXPENSE,tagihan,Dompet Tunai
2025-10-11,Biaya Admin,30841,EXPENSE,lain-lain,BCA
2025-10-11,Biaya Admin,541971,EXPENSE,lain-lain,Gopay
2025-10-11,Biaya Admin,24520,EXPENSE,lain-lain,BCA
2025-10-11,Top up Game,744705,EXPENSE,hiburan,BCA
2025-10-11,Pulsa,927919,EXPENSE,tagihan,BCA
2025-10-11,Pulsa,1095508,EXPENSE,tagihan,Dompet Tunai
2025-10-11,Pulsa,881476,EXPENSE,tagihan,Dompet Tunai
2025-10-12,Tissue,1311878,EXPENSE,belanja,BCA
2025-10-12,Tissue,737145,EXPENSE,belanja,Dompet Tunai
2025-10-12,Kebutuhan Pokok,822561,EXPENSE,belanja,Dompet Tunai
2025-10-12,Warung Nasi,322942,EXPENSE,makan & minum,Gopay
2025-10-12,Lain-lain,553392,EXPENSE,lain-lain,BCA
2025-10-12,Kopi Pagi,139960,EXPENSE,makan & minum,Gopay
2025-10-12,Tabungan,6943444,INCOME,goals,BCA
2025-10-13,Makan Siang,1203141,EXPENSE,makan & minum,Gopay
2025-10-13,Main Ke Mall,608872,EXPENSE,hiburan,Gopay
2025-10-13,Biaya Admin,613723,EXPENSE,lain-lain,Gopay
2025-10-13,Biaya Admin,987497,EXPENSE,lain-lain,Gopay
2025-10-13,Top up Game,677912,EXPENSE,hiburan,Gopay
2025-10-14,Kebutuhan Pokok,1301336,EXPENSE,belanja,BCA
2025-10-14,Listrik,89178,EXPENSE,tagihan,Gopay
2025-10-14,Alfamart,389883,EXPENSE,belanja,Gopay
2025-10-14,Freelance Project,14484599,INCOME,gaji,Dompet Tunai
2025-10-14,Sabun,858927,EXPENSE,belanja,BCA
2025-10-14,Top up Game,834641,EXPENSE,hiburan,Gopay
2025-10-14,Air,603458,EXPENSE,tagihan,Dompet Tunai
2025-10-15,Cemilan,230531,EXPENSE,makan & minum,Dompet Tunai
2025-10-15,Jajan Sore,1051799,EXPENSE,makan & minum,BCA
2025-10-15,Tabungan,11474605,INCOME,goals,Dompet Tunai
2025-10-15,Parkir,233796,EXPENSE,tagihan,BCA
2025-10-16,Biaya Admin,459223,EXPENSE,lain-lain,Dompet Tunai
2025-10-16,Biaya Admin,1036856,EXPENSE,lain-lain,BCA
2025-10-16,Kopi Pagi,697016,EXPENSE,makan & minum,Dompet Tunai
2025-10-16,Lain-lain,1181032,EXPENSE,lain-lain,Gopay
2025-10-16,Lain-lain,761499,EXPENSE,lain-lain,Dompet Tunai
2025-10-16,Biaya Admin,1091641,EXPENSE,lain-lain,Dompet Tunai
2025-10-16,Kopi Pagi,66721,EXPENSE,makan & minum,Dompet Tunai
2025-10-16,Biaya Admin,1173011,EXPENSE,lain-lain,Gopay
2025-10-16,Cashback,8663925,INCOME,goals,BCA
2025-10-16,Biaya Admin,1252615,EXPENSE,lain-lain,Gopay
2025-10-17,Gaji Bulanan,4415169,INCOME,gaji,Dompet Tunai
2025-10-17,Top up Game,906444,EXPENSE,hiburan,BCA
2025-10-17,Pulsa,600582,EXPENSE,tagihan,Gopay
2025-10-17,Insentif,6707272,INCOME,gaji,BCA
2025-10-17,Bioskop,794029,EXPENSE,hiburan,BCA
2025-10-17,Biaya Admin,240367,EXPENSE,lain-lain,Dompet Tunai
2025-10-17,Indomaret,366252,EXPENSE,belanja,Dompet Tunai
2025-10-17,Lain-lain,32639,EXPENSE,lain-lain,Gopay
2025-10-17,Biaya Admin,689357,EXPENSE,lain-lain,BCA
2025-10-17,Top up Game,28053,EXPENSE,hiburan,Gopay
2025-10-17,Freelance Project,14740292,INCOME,gaji,Dompet Tunai
2025-10-17,Parkir,544068,EXPENSE,tagihan,Gopay
2025-10-17,Belanja Mingguan,15342,EXPENSE,belanja,BCA
2025-10-18,Lain-lain,351672,EXPENSE,lain-lain,Gopay
2025-10-18,Bunga Bank,4072824,INCOME,goals,Gopay
2025-10-18,Kopi Pagi,202641,EXPENSE,makan & minum,BCA
2025-10-18,Streaming,1243338,EXPENSE,hiburan,Gopay
2025-10-18,Lain-lain,967256,EXPENSE,lain-lain,Dompet Tunai
2025-10-18,Makan Malam,1295619,EXPENSE,makan & minum,BCA
2025-10-18,Cashback,9448378,INCOME,goals,BCA
2025-10-18,Streaming,754508,EXPENSE,hiburan,BCA
2025-10-18,Internet,626068,EXPENSE,tagihan,Dompet Tunai
2025-10-18,Lain-lain,1368158,EXPENSE,lain-lain,Dompet Tunai
2025-10-18,BPJS,682061,EXPENSE,tagihan,Gopay
2025-10-19,Iuran Bulanan,693169,EXPENSE,tagihan,BCA
2025-10-19,Warung Nasi,527755,EXPENSE,makan & minum,Dompet Tunai
2025-10-19,Belanja Mingguan,869573,EXPENSE,belanja,BCA
2025-10-19,Pulsa,382697,EXPENSE,tagihan,BCA
2025-10-19,Lain-lain,508133,EXPENSE,lain-lain,Dompet Tunai
2025-10-19,Biaya Admin,169222,EXPENSE,lain-lain,BCA
2025-10-19,Biaya Admin,591728,EXPENSE,lain-lain,Gopay
2025-10-19,Listrik,1332479,EXPENSE,tagihan,Dompet Tunai
2025-10-19,Pulsa,1059474,EXPENSE,tagihan,Gopay
2025-10-20,Kopi Pagi,448636,EXPENSE,makan & minum,Gopay
2025-10-20,Makan Siang,113743,EXPENSE,makan & minum,Dompet Tunai
2025-10-20,Pulsa,719617,EXPENSE,tagihan,Dompet Tunai
2025-10-20,Alfamart,261977,EXPENSE,belanja,Gopay
2025-10-21,Bioskop,237047,EXPENSE,hiburan,Dompet Tunai
2025-10-21,Warung Nasi,526686,EXPENSE,makan & minum,Gopay
2025-10-21,Streaming,309302,EXPENSE,hiburan,Gopay
2025-10-21,Bioskop,1368727,EXPENSE,hiburan,Dompet Tunai
2025-10-22,Parkir,1238513,EXPENSE,tagihan,Gopay
2025-10-22,Warung Nasi,31888,EXPENSE,makan & minum,Gopay
2025-10-22,Belanja Mingguan,747071,EXPENSE,belanja,Dompet Tunai
2025-10-22,Insentif,14170085,INCOME,gaji,BCA
2025-10-22,Cemilan,800519,EXPENSE,makan & minum,Dompet Tunai
2025-10-22,Streaming,719671,EXPENSE,hiburan,Gopay
2025-10-22,Jajan Sore,908463,EXPENSE,makan & minum,Gopay
2025-10-22,Biaya Admin,582885,EXPENSE,lain-lain,Dompet Tunai
2025-10-22,Indomaret,280578,EXPENSE,belanja,Dompet Tunai
2025-10-22,Listrik,111768,EXPENSE,tagihan,Dompet Tunai
2025-10-23,Belanja Mingguan,400539,EXPENSE,belanja,BCA
2025-10-23,Bunga Bank,10511595,INCOME,goals,Dompet Tunai
2025-10-23,Jajan Sore,501424,EXPENSE,makan & minum,BCA
2025-10-23,Biaya Admin,922797,EXPENSE,lain-lain,Dompet Tunai
2025-10-23,Warung Nasi,1176635,EXPENSE,makan & minum,BCA
2025-10-23,Air,1225373,EXPENSE,tagihan,Gopay
2025-10-23,Cashback,14534074,INCOME,goals,Dompet Tunai
2025-10-23,Bioskop,80981,EXPENSE,hiburan,Dompet Tunai
2025-10-24,Tissue,123589,EXPENSE,belanja,Dompet Tunai
2025-10-24,Kopi Pagi,1266123,EXPENSE,makan & minum,Dompet Tunai
2025-10-24,Main Ke Mall,33243,EXPENSE,hiburan,Gopay
2025-10-24,Gofood,448356,EXPENSE,makan & minum,Gopay
2025-10-25,Biaya Admin,398838,EXPENSE,lain-lain,Dompet Tunai
2025-10-25,Pulsa,16300,EXPENSE,tagihan,BCA
2025-10-25,Jajan Sore,938816,EXPENSE,makan & minum,Dompet Tunai
2025-10-25,Main Ke Mall,1111705,EXPENSE,hiburan,Gopay
2025-10-25,Tissue,378112,EXPENSE,belanja,Gopay
2025-10-25,Kopi Pagi,1165707,EXPENSE,makan & minum,BCA
2025-10-25,Biaya Admin,1303623,EXPENSE,lain-lain,Dompet Tunai
2025-10-26,Lain-lain,807958,EXPENSE,lain-lain,BCA
2025-10-26,Makan Siang,308508,EXPENSE,makan & minum,Dompet Tunai
2025-10-26,Parkir,998321,EXPENSE,tagihan,Gopay
2025-10-26,Belanja Mingguan,1090248,EXPENSE,belanja,Dompet Tunai
2025-10-26,Gofood,55024,EXPENSE,makan & minum,Gopay
2025-10-26,Internet,451042,EXPENSE,tagihan,BCA
2025-10-26,Alfamart,87002,EXPENSE,belanja,BCA
2025-10-26,Makan Siang,1248618,EXPENSE,makan & minum,BCA
2025-10-26,Biaya Admin,120850,EXPENSE,lain-lain,BCA
2025-10-26,Kopi Pagi,1333433,EXPENSE,makan & minum,Dompet Tunai
2025-10-26,Kebutuhan Pokok,740492,EXPENSE,belanja,Dompet Tunai
2025-10-27,Biaya Admin,580991,EXPENSE,lain-lain,BCA
2025-10-27,Bioskop,1245261,EXPENSE,hiburan,Dompet Tunai
2025-10-27,Cashback,4551342,INCOME,goals,BCA
2025-10-27,Iuran Bulanan,842491,EXPENSE,tagihan,BCA
2025-10-27,Investasi,13120811,INCOME,goals,BCA
2025-10-27,Kebutuhan Pokok,458378,EXPENSE,belanja,Dompet Tunai
2025-10-27,Parkir,563691,EXPENSE,tagihan,BCA
2025-10-28,Biaya Admin,270771,EXPENSE,lain-lain,Dompet Tunai
2025-10-29,Warung Nasi,1300329,EXPENSE,makan & minum,Dompet Tunai
2025-10-29,Iuran Bulanan,413389,EXPENSE,tagihan,Dompet Tunai
2025-10-29,Bioskop,1387143,EXPENSE,hiburan,BCA
2025-10-29,Tissue,588666,EXPENSE,belanja,Gopay
2025-10-29,Makan Siang,82554,EXPENSE,makan & minum,Dompet Tunai
2025-10-29,Iuran Bulanan,1300709,EXPENSE,tagihan,Dompet Tunai
2025-10-29,Warung Nasi,1299949,EXPENSE,makan & minum,Gopay
2025-10-29,Bunga Bank,17273125,INCOME,goals,Gopay
2025-10-29,Indomaret,1374679,EXPENSE,belanja,Gopay
2025-10-30,Kebutuhan Pokok,16631,EXPENSE,belanja,Gopay
2025-10-30,Lain-lain,81184,EXPENSE,lain-lain,Dompet Tunai
2025-10-30,Makan Malam,830851,EXPENSE,makan & minum,Gopay
2025-10-30,Cashback,12626908,INCOME,goals,Gopay
2025-10-30,Belanja Mingguan,528783,EXPENSE,belanja,Dompet Tunai
2025-10-31,Tabungan,3726962,INCOME,goals,Gopay
2025-10-31,Gofood,202982,EXPENSE,makan & minum,Gopay
2025-10-31,Main Ke Mall,155166,EXPENSE,hiburan,Gopay
2025-10-31,Jajan Sore,503366,EXPENSE,makan & minum,Gopay
