Tanggal,Deskripsi,Nominal,Tipe,Kategori
2025-12-26,Gojek,85813,Pengeluaran,Kebutuhan Harian
2025-12-27,Makan,84238,Pengeluaran,Kebutuhan Harian
2025-12-27,Bensin,50000,Pengeluaran,Transportasi
2025-12-27,Hiburan Weekend,440143,Pengeluaran,Gaya Hidup
2025-12-28,Kopi,80303,Pengeluaran,Kebutuhan Harian
2025-12-28,Hiburan Weekend,401432,Pengeluaran,Gaya Hidup
2025-12-29,Kopi,67741,Pengeluaran,Kebutuhan Harian
2025-12-30,Makan,72327,Pengeluaran,Kebutuhan Harian
2025-12-30,Bensin,50000,Pengeluaran,Transportasi
2025-12-31,Kopi,46853,Pengeluaran,Kebutuhan Harian
2026-01-01,Gaji Bulanan,8000000,Pemasukan,Pendapatan
2026-01-01,Gojek,79720,Pengeluaran,Kebutuhan Harian
2026-01-02,Makan,60226,Pengeluaran,Kebutuhan Harian
2026-01-03,Kopi,73984,Pengeluaran,Kebutuhan Harian
2026-01-03,Bensin,50000,Pengeluaran,Transportasi
2026-01-03,Hiburan Weekend,375312,Pengeluaran,Gaya Hidup
2026-01-04,Kopi,62032,Pengeluaran,Kebutuhan Harian
2026-01-04,Hiburan Weekend,429692,Pengeluaran,Gaya Hidup
2026-01-05,Gojek,83767,Pengeluaran,Kebutuhan Harian
2026-01-05,Tagihan Rutin Bulanan,1500000,Pengeluaran,Tagihan
2026-01-06,Makan,41131,Pengeluaran,Kebutuhan Harian
2026-01-06,Bensin,50000,Pengeluaran,Transportasi
2026-01-07,Gojek,57646,Pengeluaran,Kebutuhan Harian
2026-01-08,Gojek,54638,Pengeluaran,Kebutuhan Harian
2026-01-09,Makan,66873,Pengeluaran,Kebutuhan Harian
2026-01-09,Bensin,50000,Pengeluaran,Transportasi
2026-01-10,Gojek,69755,Pengeluaran,Kebutuhan Harian
2026-01-10,Hiburan Weekend,434467,Pengeluaran,Gaya Hidup
2026-01-11,Makan,59431,Pengeluaran,Kebutuhan Harian
2026-01-11,Hiburan Weekend,340902,Pengeluaran,Gaya Hidup
2026-01-12,Kopi,55424,Pengeluaran,Kebutuhan Harian
2026-01-12,Bensin,50000,Pengeluaran,Transportasi
2026-01-13,Kopi,40810,Pengeluaran,Kebutuhan Harian
2026-01-14,Gojek,49159,Pengeluaran,Kebutuhan Harian
2026-01-15,Gojek,74766,Pengeluaran,Kebutuhan Harian
2026-01-15,Bensin,50000,Pengeluaran,Transportasi
2026-01-16,Makan,73126,Pengeluaran,Kebutuhan Harian
2026-01-17,Makan,55695,Pengeluaran,Kebutuhan Harian
2026-01-17,Hiburan Weekend,283031,Pengeluaran,Gaya Hidup
2026-01-18,Makan,54223,Pengeluaran,Kebutuhan Harian
2026-01-18,Bensin,50000,Pengeluaran,Transportasi
2026-01-18,Hiburan Weekend,312475,Pengeluaran,Gaya Hidup
2026-01-19,Makan,40196,Pengeluaran,Kebutuhan Harian
2026-01-20,Gojek,57219,Pengeluaran,Kebutuhan Harian
2026-01-21,Kopi,82532,Pengeluaran,Kebutuhan Harian
2026-01-21,Bensin,50000,Pengeluaran,Transportasi
2026-01-22,Makan,85381,Pengeluaran,Kebutuhan Harian
2026-01-23,Kopi,47267,Pengeluaran,Kebutuhan Harian
2026-01-24,Gojek,54954,Pengeluaran,Kebutuhan Harian
2026-01-24,Bensin,50000,Pengeluaran,Transportasi
2026-01-24,Hiburan Weekend,458661,Pengeluaran,Gaya Hidup
2026-01-25,Gojek,50606,Pengeluaran,Kebutuhan Harian
2026-01-25,Hiburan Weekend,439946,Pengeluaran,Gaya Hidup
2026-01-26,Gojek,64932,Pengeluaran,Kebutuhan Harian
2026-01-27,Kopi,59631,Pengeluaran,Kebutuhan Harian
2026-01-27,Bensin,50000,Pengeluaran,Transportasi
2026-01-28,Makan,81251,Pengeluaran,Kebutuhan Harian
2026-01-29,Kopi,57580,Pengeluaran,Kebutuhan Harian
2026-01-30,Kopi,87074,Pengeluaran,Kebutuhan Harian
2026-01-30,Bensin,50000,Pengeluaran,Transportasi
2026-01-31,Makan,70252,Pengeluaran,Kebutuhan Harian
2026-01-31,Hiburan Weekend,494620,Pengeluaran,Gaya Hidup
2026-02-01,Gaji Bulanan,8000000,Pemasukan,Pendapatan
2026-02-01,Gojek,67156,Pengeluaran,Kebutuhan Harian
2026-02-01,Hiburan Weekend,499808,Pengeluaran,Gaya Hidup
2026-02-02,Kopi,49969,Pengeluaran,Kebutuhan Harian
2026-02-03,Makan,69929,Pengeluaran,Kebutuhan Harian
2026-02-03,Bensin,50000,Pengeluaran,Transportasi
2026-02-04,Gojek,65499,Pengeluaran,Kebutuhan Harian
2026-02-05,Kopi,52173,Pengeluaran,Kebutuhan Harian
2026-02-05,Tagihan Rutin Bulanan,1500000,Pengeluaran,Tagihan
2026-02-06,Kopi,79240,Pengeluaran,Kebutuhan Harian
2026-02-06,Bensin,50000,Pengeluaran,Transportasi
2026-02-07,Kopi,50240,Pengeluaran,Kebutuhan Harian
2026-02-07,Hiburan Weekend,236582,Pengeluaran,Gaya Hidup
2026-02-08,Gojek,56530,Pengeluaran,Kebutuhan Harian
2026-02-08,Hiburan Weekend,391436,Pengeluaran,Gaya Hidup
2026-02-09,Gojek,53257,Pengeluaran,Kebutuhan Harian
2026-02-09,Bensin,50000,Pengeluaran,Transportasi
2026-02-10,Makan,60062,Pengeluaran,Kebutuhan Harian
2026-02-11,Gojek,61020,Pengeluaran,Kebutuhan Harian
2026-02-12,Gojek,55057,Pengeluaran,Kebutuhan Harian
2026-02-12,Bensin,50000,Pengeluaran,Transportasi
2026-02-13,Kopi,81070,Pengeluaran,Kebutuhan Harian
2026-02-14,Makan,44858,Pengeluaran,Kebutuhan Harian
2026-02-14,Hiburan Weekend,318565,Pengeluaran,Gaya Hidup
2026-02-15,Makan,86583,Pengeluaran,Kebutuhan Harian
2026-02-15,Bensin,50000,Pengeluaran,Transportasi
2026-02-15,Hiburan Weekend,385536,Pengeluaran,Gaya Hidup
2026-02-16,Gojek,52182,Pengeluaran,Kebutuhan Harian
2026-02-17,Makan,76605,Pengeluaran,Kebutuhan Harian
2026-02-18,Gojek,88354,Pengeluaran,Kebutuhan Harian
2026-02-18,Bensin,50000,Pengeluaran,Transportasi
2026-02-19,Makan,89434,Pengeluaran,Kebutuhan Harian
2026-02-20,Kopi,74679,Pengeluaran,Kebutuhan Harian
2026-02-21,Gojek,68933,Pengeluaran,Kebutuhan Harian
2026-02-21,Bensin,50000,Pengeluaran,Transportasi
2026-02-21,Hiburan Weekend,496975,Pengeluaran,Gaya Hidup
2026-02-22,Makan,73554,Pengeluaran,Kebutuhan Harian
2026-02-22,Hiburan Weekend,258144,Pengeluaran,Gaya Hidup
2026-02-23,Kopi,51108,Pengeluaran,Kebutuhan Harian
2026-02-24,Makan,85101,Pengeluaran,Kebutuhan Harian
2026-02-24,Bensin,50000,Pengeluaran,Transportasi
2026-02-25,Gojek,48896,Pengeluaran,Kebutuhan Harian
2026-02-26,Kopi,45194,Pengeluaran,Kebutuhan Harian
2026-02-27,Kopi,53159,Pengeluaran,Kebutuhan Harian
2026-02-27,Bensin,50000,Pengeluaran,Transportasi
2026-02-28,Makan,41943,Pengeluaran,Kebutuhan Harian
2026-02-28,Hiburan Weekend,418060,Pengeluaran,Gaya Hidup
2026-03-01,Gaji Bulanan,8000000,Pemasukan,Pendapatan
2026-03-01,Kopi,40190,Pengeluaran,Kebutuhan Harian
2026-03-01,Hiburan Weekend,413381,Pengeluaran,Gaya Hidup
2026-03-02,Makan,40749,Pengeluaran,Kebutuhan Harian
2026-03-03,Gojek,88517,Pengeluaran,Kebutuhan Harian
2026-03-03,Bensin,50000,Pengeluaran,Transportasi
2026-03-04,Kopi,45889,Pengeluaran,Kebutuhan Harian
2026-03-05,Makan,64065,Pengeluaran,Kebutuhan Harian
2026-03-05,Tagihan Rutin Bulanan,1500000,Pengeluaran,Tagihan
2026-03-06,Makan,43214,Pengeluaran,Kebutuhan Harian
2026-03-06,Bensin,50000,Pengeluaran,Transportasi
2026-03-07,Kopi,73718,Pengeluaran,Kebutuhan Harian
2026-03-07,Hiburan Weekend,451385,Pengeluaran,Gaya Hidup
2026-03-08,Kopi,75177,Pengeluaran,Kebutuhan Harian
2026-03-08,Hiburan Weekend,296806,Pengeluaran,Gaya Hidup
2026-03-09,Gojek,42727,Pengeluaran,Kebutuhan Harian
2026-03-09,Bensin,50000,Pengeluaran,Transportasi
2026-03-10,Kopi,85043,Pengeluaran,Kebutuhan Harian
2026-03-11,Kopi,73573,Pengeluaran,Kebutuhan Harian
2026-03-12,Makan,86865,Pengeluaran,Kebutuhan Harian
2026-03-12,Bensin,50000,Pengeluaran,Transportasi
2026-03-13,Makan,61562,Pengeluaran,Kebutuhan Harian
2026-03-14,Kopi,46354,Pengeluaran,Kebutuhan Harian
2026-03-14,Hiburan Weekend,328508,Pengeluaran,Gaya Hidup
2026-03-15,Kopi,55250,Pengeluaran,Kebutuhan Harian
2026-03-15,Bensin,50000,Pengeluaran,Transportasi
2026-03-15,Hiburan Weekend,333224,Pengeluaran,Gaya Hidup
2026-03-16,Gojek,81862,Pengeluaran,Kebutuhan Harian
2026-03-17,Makan,54132,Pengeluaran,Kebutuhan Harian
2026-03-18,Kopi,85656,Pengeluaran,Kebutuhan Harian
2026-03-18,Bensin,50000,Pengeluaran,Transportasi
2026-03-19,Kopi,74711,Pengeluaran,Kebutuhan Harian
2026-03-20,Makan,88694,Pengeluaran,Kebutuhan Harian
2026-03-21,Makan,41347,Pengeluaran,Kebutuhan Harian
2026-03-21,Bensin,50000,Pengeluaran,Transportasi
2026-03-21,Hiburan Weekend,407207,Pengeluaran,Gaya Hidup
2026-03-22,Gojek,64898,Pengeluaran,Kebutuhan Harian
2026-03-22,Hiburan Weekend,463915,Pengeluaran,Gaya Hidup
2026-03-23,Gojek,55124,Pengeluaran,Kebutuhan Harian
2026-03-24,Makan,68693,Pengeluaran,Kebutuhan Harian
2026-03-24,Bensin,50000,Pengeluaran,Transportasi
2026-03-25,Makan,48976,Pengeluaran,Kebutuhan Harian
2026-03-26,Kopi,57187,Pengeluaran,Kebutuhan Harian
2026-03-27,Kopi,67705,Pengeluaran,Kebutuhan Harian
2026-03-27,Bensin,50000,Pengeluaran,Transportasi
2026-03-28,Makan,83351,Pengeluaran,Kebutuhan Harian
2026-03-28,Hiburan Weekend,357425,Pengeluaran,Gaya Hidup
2026-03-29,Makan,75234,Pengeluaran,Kebutuhan Harian
2026-03-29,Hiburan Weekend,204701,Pengeluaran,Gaya Hidup
2026-03-30,Makan,54580,Pengeluaran,Kebutuhan Harian
2026-03-30,Bensin,50000,Pengeluaran,Transportasi
2026-03-31,Gojek,82723,Pengeluaran,Kebutuhan Harian
2026-04-01,Gaji Bulanan,8000000,Pemasukan,Pendapatan
2026-04-01,Gojek,69238,Pengeluaran,Kebutuhan Harian
2026-04-02,Kopi,40741,Pengeluaran,Kebutuhan Harian
2026-04-03,Gojek,79609,Pengeluaran,Kebutuhan Harian
2026-04-03,Bensin,50000,Pengeluaran,Transportasi
2026-04-04,Makan,46374,Pengeluaran,Kebutuhan Harian
2026-04-04,Hiburan Weekend,336144,Pengeluaran,Gaya Hidup
2026-04-05,Makan,52120,Pengeluaran,Kebutuhan Harian
2026-04-05,Hiburan Weekend,479515,Pengeluaran,Gaya Hidup
2026-04-05,Tagihan Rutin Bulanan,1500000,Pengeluaran,Tagihan
2026-04-06,Kopi,86865,Pengeluaran,Kebutuhan Harian
2026-04-06,Bensin,50000,Pengeluaran,Transportasi
2026-04-07,Kopi,47256,Pengeluaran,Kebutuhan Harian
2026-04-08,Makan,50643,Pengeluaran,Kebutuhan Harian
2026-04-09,Kopi,80182,Pengeluaran,Kebutuhan Harian
2026-04-09,Bensin,50000,Pengeluaran,Transportasi
2026-04-10,Makan,46777,Pengeluaran,Kebutuhan Harian
2026-04-11,Kopi,63287,Pengeluaran,Kebutuhan Harian
2026-04-11,Hiburan Weekend,292878,Pengeluaran,Gaya Hidup
2026-04-12,Kopi,64857,Pengeluaran,Kebutuhan Harian
2026-04-12,Bensin,50000,Pengeluaran,Transportasi
2026-04-12,Hiburan Weekend,432544,Pengeluaran,Gaya Hidup
2026-04-13,Makan,51227,Pengeluaran,Kebutuhan Harian
2026-04-14,Makan,53424,Pengeluaran,Kebutuhan Harian
2026-04-15,Makan,78436,Pengeluaran,Kebutuhan Harian
2026-04-15,Bensin,50000,Pengeluaran,Transportasi
2026-04-16,Gojek,53200,Pengeluaran,Kebutuhan Harian
2026-04-17,Gojek,88129,Pengeluaran,Kebutuhan Harian
2026-04-18,Gojek,77439,Pengeluaran,Kebutuhan Harian
2026-04-18,Bensin,50000,Pengeluaran,Transportasi
2026-04-18,Hiburan Weekend,420908,Pengeluaran,Gaya Hidup
2026-04-19,Gojek,85487,Pengeluaran,Kebutuhan Harian
2026-04-19,Hiburan Weekend,389743,Pengeluaran,Gaya Hidup
2026-04-20,Kopi,48402,Pengeluaran,Kebutuhan Harian
2026-04-21,Makan,77827,Pengeluaran,Kebutuhan Harian
2026-04-21,Bensin,50000,Pengeluaran,Transportasi
