"id","tanggal","deskripsi","nominal","tipe","kategori"
"377","2025-11-15","Nonton / Jajan Weekend","262252","Pengeluaran","Gaya Hidup"
"378","2025-11-16","Makan Siang","40087","Pengeluaran","Konsumsi"
"379","2025-11-16","Gojek","26348","Pengeluaran","Transportasi"
"380","2025-11-16","Nonton / Jajan Weekend","154295","Pengeluaran","Gaya Hidup"
"381","2025-11-17","Makan Malam","44542","Pengeluaran","Konsumsi"
"382","2025-11-18","Kopi Senja","78297","Pengeluaran","Konsumsi"
"383","2025-11-18","Bensin Motor","41814","Pengeluaran","Transportasi"
"384","2025-11-19","Kopi Senja","76348","Pengeluaran","Konsumsi"
"385","2025-11-20","Kopi Senja","73339","Pengeluaran","Konsumsi"
"386","2025-11-20","Bensin Motor","26282","Pengeluaran","Transportasi"
"387","2025-11-21","Kopi Senja","57507","Pengeluaran","Konsumsi"
"388","2025-11-22","Makan Siang","64594","Pengeluaran","Konsumsi"
"389","2025-11-22","Bensin Motor","32261","Pengeluaran","Transportasi"
"390","2025-11-22","Nonton / Jajan Weekend","232380","Pengeluaran","Gaya Hidup"
"391","2025-11-23","Makan Malam","65865","Pengeluaran","Konsumsi"
"392","2025-11-23","Nonton / Jajan Weekend","321449","Pengeluaran","Gaya Hidup"
"393","2025-11-24","Makan Siang","65196","Pengeluaran","Konsumsi"
"394","2025-11-24","Bensin Motor","35277","Pengeluaran","Transportasi"
"395","2025-11-25","Kopi Senja","61839","Pengeluaran","Konsumsi"
"396","2025-11-26","Kopi Senja","66759","Pengeluaran","Konsumsi"
"397","2025-11-26","Bensin Motor","40006","Pengeluaran","Transportasi"
"398","2025-11-27","Makan Siang","71771","Pengeluaran","Konsumsi"
"399","2025-11-28","Kopi Senja","36457","Pengeluaran","Konsumsi"
"400","2025-11-28","Grab","39953","Pengeluaran","Transportasi"
"401","2025-11-29","Makan Malam","48115","Pengeluaran","Konsumsi"
"402","2025-11-29","Nonton / Jajan Weekend","294036","Pengeluaran","Gaya Hidup"
"403","2025-11-30","Kopi Senja","78849","Pengeluaran","Konsumsi"
"404","2025-11-30","Grab","36287","Pengeluaran","Transportasi"
"405","2025-11-30","Nonton / Jajan Weekend","290024","Pengeluaran","Gaya Hidup"
"406","2025-12-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"407","2025-12-01","Makan Siang","59647","Pengeluaran","Konsumsi"
"408","2025-12-02","Makan Siang","62501","Pengeluaran","Konsumsi"
"409","2025-12-02","Grab","29712","Pengeluaran","Transportasi"
"410","2025-12-03","Kopi Senja","47668","Pengeluaran","Konsumsi"
"411","2025-12-04","Makan Malam","70338","Pengeluaran","Konsumsi"
"412","2025-12-04","Bensin Motor","24192","Pengeluaran","Transportasi"
"413","2025-12-05","Makan Siang","68541","Pengeluaran","Konsumsi"
"414","2025-12-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"415","2025-12-06","Makan Malam","51777","Pengeluaran","Konsumsi"
"416","2025-12-06","Bensin Motor","30683","Pengeluaran","Transportasi"
"417","2025-12-06","Nonton / Jajan Weekend","218386","Pengeluaran","Gaya Hidup"
"418","2025-12-07","Kopi Senja","48008","Pengeluaran","Konsumsi"
"419","2025-12-07","Nonton / Jajan Weekend","157840","Pengeluaran","Gaya Hidup"
"420","2025-12-08","Makan Siang","71733","Pengeluaran","Konsumsi"
"421","2025-12-08","Bensin Motor","41679","Pengeluaran","Transportasi"
"422","2025-12-09","Makan Malam","41636","Pengeluaran","Konsumsi"
"423","2025-12-10","Kopi Senja","45421","Pengeluaran","Konsumsi"
"424","2025-12-10","Grab","30558","Pengeluaran","Transportasi"
"425","2025-12-11","Bonus / Cashback","96212","Pemasukan","Pendapatan"
"426","2025-12-11","Kopi Senja","42705","Pengeluaran","Konsumsi"
"427","2025-12-12","Makan Malam","38101","Pengeluaran","Konsumsi"
"428","2025-12-12","Bensin Motor","27579","Pengeluaran","Transportasi"
"429","2025-12-13","Kopi Senja","44420","Pengeluaran","Konsumsi"
"430","2025-12-13","Nonton / Jajan Weekend","196240","Pengeluaran","Gaya Hidup"
"431","2025-12-14","Kopi Senja","61532","Pengeluaran","Konsumsi"
"432","2025-12-14","Grab","20002","Pengeluaran","Transportasi"
"433","2025-12-14","Nonton / Jajan Weekend","181127","Pengeluaran","Gaya Hidup"
"434","2025-12-15","Kopi Senja","44939","Pengeluaran","Konsumsi"
"435","2025-12-16","Kopi Senja","57342","Pengeluaran","Konsumsi"
"436","2025-12-16","Grab","37014","Pengeluaran","Transportasi"
"437","2025-12-17","Makan Siang","69039","Pengeluaran","Konsumsi"
"438","2025-12-18","Makan Siang","65967","Pengeluaran","Konsumsi"
"439","2025-12-18","Grab","21364","Pengeluaran","Transportasi"
"440","2025-12-19","Makan Malam","49242","Pengeluaran","Konsumsi"
"441","2025-12-20","Kopi Senja","76095","Pengeluaran","Konsumsi"
"442","2025-12-20","Gojek","20482","Pengeluaran","Transportasi"
"443","2025-12-20","Nonton / Jajan Weekend","186011","Pengeluaran","Gaya Hidup"
"444","2025-12-21","Makan Malam","79100","Pengeluaran","Konsumsi"
"445","2025-12-21","Nonton / Jajan Weekend","299539","Pengeluaran","Gaya Hidup"
"446","2025-12-22","Kopi Senja","66937","Pengeluaran","Konsumsi"
"447","2025-12-22","Gojek","21047","Pengeluaran","Transportasi"
"448","2025-12-23","Kopi Senja","37579","Pengeluaran","Konsumsi"
"449","2025-12-24","Makan Malam","48549","Pengeluaran","Konsumsi"
"450","2025-12-24","Grab","33151","Pengeluaran","Transportasi"
"451","2025-12-25","Kopi Senja","56361","Pengeluaran","Konsumsi"
"452","2025-12-26","Kopi Senja","76931","Pengeluaran","Konsumsi"
"453","2025-12-26","Gojek","26415","Pengeluaran","Transportasi"
"454","2025-12-27","Makan Malam","55392","Pengeluaran","Konsumsi"
"455","2025-12-27","Nonton / Jajan Weekend","276025","Pengeluaran","Gaya Hidup"
"456","2025-12-28","Makan Siang","68369","Pengeluaran","Konsumsi"
"457","2025-12-28","Gojek","30228","Pengeluaran","Transportasi"
"458","2025-12-28","Nonton / Jajan Weekend","200821","Pengeluaran","Gaya Hidup"
"459","2025-12-29","Kopi Senja","35511","Pengeluaran","Konsumsi"
"460","2025-12-30","Makan Siang","68278","Pengeluaran","Konsumsi"
"461","2025-12-30","Gojek","43569","Pengeluaran","Transportasi"
"462","2025-12-31","Makan Siang","64847","Pengeluaran","Konsumsi"
"463","2026-01-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"464","2026-01-01","Kopi Senja","50292","Pengeluaran","Konsumsi"
"465","2026-01-02","Makan Malam","72716","Pengeluaran","Konsumsi"
"466","2026-01-02","Grab","44135","Pengeluaran","Transportasi"
"467","2026-01-03","Kopi Senja","45654","Pengeluaran","Konsumsi"
"468","2026-01-03","Nonton / Jajan Weekend","233495","Pengeluaran","Gaya Hidup"
"469","2026-01-04","Makan Malam","69331","Pengeluaran","Konsumsi"
"470","2026-01-04","Grab","38105","Pengeluaran","Transportasi"
"471","2026-01-04","Nonton / Jajan Weekend","340912","Pengeluaran","Gaya Hidup"
"472","2026-01-05","Kopi Senja","49731","Pengeluaran","Konsumsi"
"473","2026-01-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"474","2026-01-06","Kopi Senja","58736","Pengeluaran","Konsumsi"
"475","2026-01-06","Grab","39079","Pengeluaran","Transportasi"
"476","2026-01-07","Makan Siang","74991","Pengeluaran","Konsumsi"
"477","2026-01-08","Makan Malam","36775","Pengeluaran","Konsumsi"
"478","2026-01-08","Grab","36413","Pengeluaran","Transportasi"
"479","2026-01-09","Kopi Senja","59421","Pengeluaran","Konsumsi"
"480","2026-01-10","Makan Malam","67687","Pengeluaran","Konsumsi"
"481","2026-01-10","Grab","30101","Pengeluaran","Transportasi"
"482","2026-01-10","Nonton / Jajan Weekend","314531","Pengeluaran","Gaya Hidup"
"483","2026-01-11","Makan Siang","49819","Pengeluaran","Konsumsi"
"484","2026-01-11","Nonton / Jajan Weekend","152472","Pengeluaran","Gaya Hidup"
"485","2026-01-12","Kopi Senja","64059","Pengeluaran","Konsumsi"
"486","2026-01-12","Gojek","32240","Pengeluaran","Transportasi"
"487","2026-01-13","Makan Malam","51323","Pengeluaran","Konsumsi"
"488","2026-01-14","Kopi Senja","52671","Pengeluaran","Konsumsi"
"489","2026-01-14","Bensin Motor","26420","Pengeluaran","Transportasi"
"490","2026-01-15","Kopi Senja","48158","Pengeluaran","Konsumsi"
"491","2026-01-16","Makan Malam","57575","Pengeluaran","Konsumsi"
"492","2026-01-16","Bensin Motor","37412","Pengeluaran","Transportasi"
"493","2026-01-17","Kopi Senja","63890","Pengeluaran","Konsumsi"
"494","2026-01-17","Nonton / Jajan Weekend","339859","Pengeluaran","Gaya Hidup"
"495","2026-01-18","Makan Malam","58743","Pengeluaran","Konsumsi"
"496","2026-01-18","Bensin Motor","24189","Pengeluaran","Transportasi"
"497","2026-01-18","Nonton / Jajan Weekend","200989","Pengeluaran","Gaya Hidup"
"498","2026-01-19","Makan Malam","77420","Pengeluaran","Konsumsi"
"499","2026-01-20","Makan Malam","79396","Pengeluaran","Konsumsi"
"500","2026-01-20","Gojek","25360","Pengeluaran","Transportasi"
"501","2026-01-21","Kopi Senja","67152","Pengeluaran","Konsumsi"
"502","2026-01-22","Makan Malam","43184","Pengeluaran","Konsumsi"
"503","2026-01-22","Bensin Motor","37372","Pengeluaran","Transportasi"
"504","2026-01-23","Makan Malam","61128","Pengeluaran","Konsumsi"
"505","2026-01-24","Kopi Senja","40837","Pengeluaran","Konsumsi"
"506","2026-01-24","Gojek","34494","Pengeluaran","Transportasi"
"507","2026-01-24","Nonton / Jajan Weekend","331887","Pengeluaran","Gaya Hidup"
"508","2026-01-25","Kopi Senja","38628","Pengeluaran","Konsumsi"
"509","2026-01-25","Nonton / Jajan Weekend","218564","Pengeluaran","Gaya Hidup"
"510","2026-01-26","Kopi Senja","75814","Pengeluaran","Konsumsi"
"511","2026-01-26","Bensin Motor","41489","Pengeluaran","Transportasi"
"512","2026-01-27","Makan Malam","76057","Pengeluaran","Konsumsi"
"513","2026-01-28","Kopi Senja","38018","Pengeluaran","Konsumsi"
"514","2026-01-28","Gojek","34757","Pengeluaran","Transportasi"
"515","2026-01-29","Makan Siang","58564","Pengeluaran","Konsumsi"
"516","2026-01-30","Kopi Senja","70822","Pengeluaran","Konsumsi"
"517","2026-01-30","Gojek","40212","Pengeluaran","Transportasi"
"518","2026-01-31","Kopi Senja","66586","Pengeluaran","Konsumsi"
"519","2026-01-31","Nonton / Jajan Weekend","162590","Pengeluaran","Gaya Hidup"
"520","2026-02-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"521","2026-02-01","Bonus / Cashback","92721","Pemasukan","Pendapatan"
"522","2026-02-01","Makan Siang","66936","Pengeluaran","Konsumsi"
"523","2026-02-01","Nonton / Jajan Weekend","206106","Pengeluaran","Gaya Hidup"
"524","2026-02-02","Makan Malam","60590","Pengeluaran","Konsumsi"
"525","2026-02-02","Grab","33204","Pengeluaran","Transportasi"
"526","2026-02-03","Makan Malam","53399","Pengeluaran","Konsumsi"
"527","2026-02-04","Makan Siang","58405","Pengeluaran","Konsumsi"
"528","2026-02-04","Grab","21633","Pengeluaran","Transportasi"
"529","2026-02-05","Bonus / Cashback","154329","Pemasukan","Pendapatan"
"530","2026-02-05","Makan Siang","63926","Pengeluaran","Konsumsi"
"531","2026-02-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"532","2026-02-06","Makan Siang","77112","Pengeluaran","Konsumsi"
"533","2026-02-06","Grab","23412","Pengeluaran","Transportasi"
"534","2026-02-07","Makan Siang","66157","Pengeluaran","Konsumsi"
"535","2026-02-07","Nonton / Jajan Weekend","268602","Pengeluaran","Gaya Hidup"
"536","2026-02-08","Makan Malam","51364","Pengeluaran","Konsumsi"
"537","2026-02-08","Bensin Motor","43004","Pengeluaran","Transportasi"
"538","2026-02-08","Nonton / Jajan Weekend","182468","Pengeluaran","Gaya Hidup"
"539","2026-02-09","Kopi Senja","74424","Pengeluaran","Konsumsi"
"540","2026-02-10","Makan Malam","40136","Pengeluaran","Konsumsi"
"541","2026-02-10","Grab","20331","Pengeluaran","Transportasi"
"542","2026-02-11","Makan Malam","62137","Pengeluaran","Konsumsi"
"543","2026-02-12","Kopi Senja","55601","Pengeluaran","Konsumsi"
"544","2026-02-12","Bensin Motor","41053","Pengeluaran","Transportasi"
"545","2026-02-13","Makan Malam","36010","Pengeluaran","Konsumsi"
"546","2026-02-14","Makan Malam","36304","Pengeluaran","Konsumsi"
"547","2026-02-14","Grab","42925","Pengeluaran","Transportasi"
"548","2026-02-14","Nonton / Jajan Weekend","323101","Pengeluaran","Gaya Hidup"
"549","2026-02-15","Makan Malam","37330","Pengeluaran","Konsumsi"
"550","2026-02-15","Nonton / Jajan Weekend","277373","Pengeluaran","Gaya Hidup"
"551","2026-02-16","Kopi Senja","75862","Pengeluaran","Konsumsi"
"552","2026-02-16","Gojek","26527","Pengeluaran","Transportasi"
"553","2026-02-17","Makan Malam","63254","Pengeluaran","Konsumsi"
"554","2026-02-18","Kopi Senja","55652","Pengeluaran","Konsumsi"
"555","2026-02-18","Gojek","43753","Pengeluaran","Transportasi"
"556","2026-02-19","Kopi Senja","50581","Pengeluaran","Konsumsi"
"557","2026-02-20","Makan Siang","70236","Pengeluaran","Konsumsi"
"558","2026-02-20","Gojek","44959","Pengeluaran","Transportasi"
"559","2026-02-21","Makan Siang","79476","Pengeluaran","Konsumsi"
"560","2026-02-21","Nonton / Jajan Weekend","155595","Pengeluaran","Gaya Hidup"
"561","2026-02-22","Makan Siang","61668","Pengeluaran","Konsumsi"
"562","2026-02-22","Gojek","29208","Pengeluaran","Transportasi"
"563","2026-02-22","Nonton / Jajan Weekend","289641","Pengeluaran","Gaya Hidup"
"564","2026-02-23","Kopi Senja","66639","Pengeluaran","Konsumsi"
"565","2026-02-24","Makan Siang","67060","Pengeluaran","Konsumsi"
"566","2026-02-24","Grab","44457","Pengeluaran","Transportasi"
"567","2026-02-25","Makan Malam","35576","Pengeluaran","Konsumsi"
"568","2026-02-26","Makan Siang","64910","Pengeluaran","Konsumsi"
"569","2026-02-26","Gojek","42529","Pengeluaran","Transportasi"
"570","2026-02-27","Makan Siang","52292","Pengeluaran","Konsumsi"
"571","2026-02-28","Makan Malam","38560","Pengeluaran","Konsumsi"
"572","2026-02-28","Bensin Motor","41634","Pengeluaran","Transportasi"
"573","2026-02-28","Nonton / Jajan Weekend","343851","Pengeluaran","Gaya Hidup"
"574","2026-03-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"575","2026-03-01","Makan Siang","49764","Pengeluaran","Konsumsi"
"576","2026-03-01","Nonton / Jajan Weekend","278843","Pengeluaran","Gaya Hidup"
"577","2026-03-02","Kopi Senja","40247","Pengeluaran","Konsumsi"
"578","2026-03-02","Gojek","22501","Pengeluaran","Transportasi"
"579","2026-03-03","Bonus / Cashback","135943","Pemasukan","Pendapatan"
"580","2026-03-03","Kopi Senja","35622","Pengeluaran","Konsumsi"
"581","2026-03-04","Kopi Senja","38453","Pengeluaran","Konsumsi"
"582","2026-03-04","Grab","20808","Pengeluaran","Transportasi"
"583","2026-03-05","Makan Siang","40586","Pengeluaran","Konsumsi"
"584","2026-03-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"585","2026-03-06","Kopi Senja","53529","Pengeluaran","Konsumsi"
"586","2026-03-06","Grab","33151","Pengeluaran","Transportasi"
"587","2026-03-07","Makan Malam","55974","Pengeluaran","Konsumsi"
"588","2026-03-07","Nonton / Jajan Weekend","261970","Pengeluaran","Gaya Hidup"
"589","2026-03-08","Makan Malam","74646","Pengeluaran","Konsumsi"
"590","2026-03-08","Grab","36489","Pengeluaran","Transportasi"
"591","2026-03-08","Nonton / Jajan Weekend","273411","Pengeluaran","Gaya Hidup"
"592","2026-03-09","Makan Malam","60653","Pengeluaran","Konsumsi"
"593","2026-03-10","Makan Malam","61285","Pengeluaran","Konsumsi"
"594","2026-03-10","Bensin Motor","27824","Pengeluaran","Transportasi"
"595","2026-03-11","Makan Malam","44087","Pengeluaran","Konsumsi"
"596","2026-03-12","Kopi Senja","64250","Pengeluaran","Konsumsi"
"597","2026-03-12","Bensin Motor","22402","Pengeluaran","Transportasi"
"598","2026-03-13","Makan Malam","70941","Pengeluaran","Konsumsi"
"599","2026-03-14","Makan Malam","36459","Pengeluaran","Konsumsi"
"600","2026-03-14","Gojek","42818","Pengeluaran","Transportasi"
"601","2026-03-14","Nonton / Jajan Weekend","156615","Pengeluaran","Gaya Hidup"
"602","2026-03-15","Kopi Senja","59951","Pengeluaran","Konsumsi"
"603","2026-03-15","Nonton / Jajan Weekend","349980","Pengeluaran","Gaya Hidup"
"604","2026-03-16","Kopi Senja","56631","Pengeluaran","Konsumsi"
"605","2026-03-16","Grab","37821","Pengeluaran","Transportasi"
"606","2026-03-17","Makan Siang","49344","Pengeluaran","Konsumsi"
"607","2026-03-18","Kopi Senja","55310","Pengeluaran","Konsumsi"
"608","2026-03-18","Grab","29392","Pengeluaran","Transportasi"
"609","2026-03-19","Makan Siang","70793","Pengeluaran","Konsumsi"
"610","2026-03-20","Kopi Senja","74543","Pengeluaran","Konsumsi"
"611","2026-03-20","Grab","40403","Pengeluaran","Transportasi"
"612","2026-03-21","Makan Siang","61942","Pengeluaran","Konsumsi"
"613","2026-03-21","Nonton / Jajan Weekend","177969","Pengeluaran","Gaya Hidup"
"614","2026-03-22","Kopi Senja","57851","Pengeluaran","Konsumsi"
"615","2026-03-22","Gojek","43143","Pengeluaran","Transportasi"
"616","2026-03-22","Nonton / Jajan Weekend","346160","Pengeluaran","Gaya Hidup"
"617","2026-03-23","Kopi Senja","52844","Pengeluaran","Konsumsi"
"618","2026-03-24","Makan Malam","36409","Pengeluaran","Konsumsi"
"619","2026-03-24","Gojek","24223","Pengeluaran","Transportasi"
"620","2026-03-25","Kopi Senja","60393","Pengeluaran","Konsumsi"
"621","2026-03-26","Kopi Senja","69133","Pengeluaran","Konsumsi"
"622","2026-03-26","Bensin Motor","35033","Pengeluaran","Transportasi"
"623","2026-03-27","Kopi Senja","54596","Pengeluaran","Konsumsi"
"624","2026-03-28","Kopi Senja","56364","Pengeluaran","Konsumsi"
"625","2026-03-28","Grab","23878","Pengeluaran","Transportasi"
"626","2026-03-28","Nonton / Jajan Weekend","198597","Pengeluaran","Gaya Hidup"
"627","2026-03-29","Makan Malam","39643","Pengeluaran","Konsumsi"
"628","2026-03-29","Nonton / Jajan Weekend","249197","Pengeluaran","Gaya Hidup"
"629","2026-03-30","Kopi Senja","48878","Pengeluaran","Konsumsi"
"630","2026-03-30","Grab","39507","Pengeluaran","Transportasi"
"631","2026-03-31","Makan Malam","38976","Pengeluaran","Konsumsi"
"632","2026-04-01","Gaji Bulanan","8000000","Pemasukan","Pendapatan"
"633","2026-04-01","Bonus / Cashback","136344","Pemasukan","Pendapatan"
"634","2026-04-01","Makan Siang","44584","Pengeluaran","Konsumsi"
"635","2026-04-02","Kopi Senja","74098","Pengeluaran","Konsumsi"
"636","2026-04-02","Bensin Motor","34062","Pengeluaran","Transportasi"
"637","2026-04-03","Makan Siang","36018","Pengeluaran","Konsumsi"
"638","2026-04-04","Makan Malam","42406","Pengeluaran","Konsumsi"
"639","2026-04-04","Gojek","32332","Pengeluaran","Transportasi"
"640","2026-04-04","Nonton / Jajan Weekend","341438","Pengeluaran","Gaya Hidup"
"641","2026-04-05","Kopi Senja","47253","Pengeluaran","Konsumsi"
"642","2026-04-05","Nonton / Jajan Weekend","305038","Pengeluaran","Gaya Hidup"
"643","2026-04-05","Listrik, Wifi, & Kos","1800000","Pengeluaran","Tagihan"
"644","2026-04-06","Kopi Senja","52531","Pengeluaran","Konsumsi"
"645","2026-04-06","Gojek","20380","Pengeluaran","Transportasi"
"646","2026-04-07","Makan Malam","65341","Pengeluaran","Konsumsi"
"647","2026-04-08","Kopi Senja","36386","Pengeluaran","Konsumsi"
"648","2026-04-08","Grab","27919","Pengeluaran","Transportasi"
"649","2026-04-09","Makan Malam","50021","Pengeluaran","Konsumsi"
"650","2026-04-10","Kopi Senja","60769","Pengeluaran","Konsumsi"
"651","2026-04-10","Gojek","29985","Pengeluaran","Transportasi"
"652","2026-04-11","Makan Siang","51386","Pengeluaran","Konsumsi"
"653","2026-04-11","Nonton / Jajan Weekend","279183","Pengeluaran","Gaya Hidup"
"654","2026-04-12","Makan Malam","79237","Pengeluaran","Konsumsi"
"655","2026-04-12","Bensin Motor","21638","Pengeluaran","Transportasi"
"656","2026-04-12","Nonton / Jajan Weekend","346756","Pengeluaran","Gaya Hidup"
"657","2026-04-13","Makan Malam","53505","Pengeluaran","Konsumsi"
"658","2026-04-14","Makan Malam","54362","Pengeluaran","Konsumsi"
"659","2026-04-14","Grab","28850","Pengeluaran","Transportasi"
"660","2026-04-15","Makan Siang","44504","Pengeluaran","Konsumsi"
"661","2026-04-16","Kopi Senja","74306","Pengeluaran","Konsumsi"
"662","2026-04-16","Bensin Motor","30699","Pengeluaran","Transportasi"
"663","2026-04-17","Makan Malam","54250","Pengeluaran","Konsumsi"
"664","2026-04-18","Kopi Senja","59619","Pengeluaran","Konsumsi"
"665","2026-04-18","Gojek","31197","Pengeluaran","Transportasi"
"666","2026-04-18","Nonton / Jajan Weekend","344157","Pengeluaran","Gaya Hidup"
"667","2026-04-19","Makan Malam","45100","Pengeluaran","Konsumsi"
"668","2026-04-19","Nonton / Jajan Weekend","299570","Pengeluaran","Gaya Hidup"
"669","2026-04-20","Makan Malam","76329","Pengeluaran","Konsumsi"
"670","2026-04-20","Grab","25686","Pengeluaran","Transportasi"
"671","2026-04-21","Makan Siang","37206","Pengeluaran","Konsumsi"
"672","2026-04-22","Makan Malam","62854","Pengeluaran","Konsumsi"
"673","2026-04-22","Grab","26535","Pengeluaran","Transportasi"
"674","2026-04-23","Makan Siang","38784","Pengeluaran","Konsumsi"
"675","2026-04-24","Makan Malam","37871","Pengeluaran","Konsumsi"
"676","2026-04-24","Bensin Motor","40471","Pengeluaran","Transportasi"
"677","2026-04-25","Kopi Senja","63146","Pengeluaran","Konsumsi"
"678","2026-04-25","Nonton / Jajan Weekend","345918","Pengeluaran","Gaya Hidup"
"679","2026-04-26","Kopi Senja","74044","Pengeluaran","Konsumsi"
"680","2026-04-26","Grab","26347","Pengeluaran","Transportasi"
"681","2026-04-26","Nonton / Jajan Weekend","188793","Pengeluaran","Gaya Hidup"
"682","2026-04-27","Makan Malam","63124","Pengeluaran","Konsumsi"
